submission_id,why_drink_other
eBxgQO,I don't
lNlXyB,Comforting
lNlXyB,warmth
EPboJ2,Fun and devirse
WApaBa,Support local business
xdN8z5,My wife and I are both coffee professionals
vNx8zD,I like hanging out in coffee shops
6dQEZk,It sparks joy
zKQ5jM,It smells nice
VZ1OQg,Nostalgia
VZ1OQg,comfort
lNlkqv,interesting to explore
dY2e9o,I enjoy comparing
bl4QWL,the smellllllllllllll
BGbJo7,it's meditative and a great hobby
g5N6Gl,To explore flavors
rlrMrL,connecting with my partner
g5N671,It's delicious and exciting in the way wine terroir and exploration is.
24xGvA,bonding experience with my wife and my other wife
eBxWxo,I general don't drink coffee
LdMLvz,It fascinates me
BGbWj4,Culturally interesting and makes great conversation
bl4QK0,It's a cozy start to the morning
XeBP1e,Good coffee is a way to make friends
XeBP1e,to talk about common interest. To share beans you're excited about is splendid. And lastly
XeBP1e,good coffee is what makes me excited to wake up the nest morning.
eBxWox,Appetite suppressant
VZ1Oxj,I don't really drink coffee much
J2kvgK,Avoiding caffeine headaches
NAB1gO,Keeps me from drinking beer as it takes up that part of my monthly budget
WApVXN,mmmm yummy
MAdpqA,I enjoy the flavor profiles
GrBA5O,It’s cold outside and I work in a garage
MAdp2M,As a hobby and science- expanding my palette and trying new techniques/flavors is exciting
g5N6rD,Comforting
qbE1l7,Fun to do tastings
RzByNl,I’m a huge tea drinker
RzByNl,but I don’t drink coffee. However
RzByNl,I love to make coffee for my partner at home with the espresso machine and grinder.
oAVLLV,Family
g5N6EN,I do not
8dp4Bx,Something to enjoy and share with my partner
LdML4j,I work in a cafe
lNlkx5,one of my passions
ylq5O0,I like the whole experience.
42NVZb,I enjoy the aroma that fills the kitchen when it’s brewing
qbE1r2,None of the above
qbE1r2,I don’t normally drink coffee. But I like trying new things and live with my partner who loves coffee.
lNlko6,I enjoy experimenting with brewing
42NbKr,It helps me center my focus and calm down.
QABQeY,I enjoy going to a cafe and getting lattes as a treat
rlrZDX,It goes well with breakfast
VZ16zM,For the metabolic and other salubrious benefits.
